,Pupil Name,Date of Birth,School Birthday,Month of Birthday,Weekday of Birthday,BDs_per_WD_and_M
0,Ronna Nellies,12/21/2013,2022-12-21,12,2,9
1,Rusty Andriulis,7/21/2012,2022-07-21,7,3,12
2,Roberta Oakeshott,12/4/2011,2022-12-02,12,4,48
3,Lola Rubinfajn,6/29/2012,2022-06-29,6,2,15
4,Kamila Benedtti,7/10/2012,2022-07-08,7,4,49
5,Avery Colebourn,8/30/2012,2022-08-30,8,1,15
6,Valentino Klimko,12/23/2014,2022-12-23,12,4,48
7,Cal Shearwood,1/18/2015,2022-01-18,1,1,12
8,King Truswell,9/14/2012,2022-09-14,9,2,7
9,Towney Stichall,6/4/2015,2022-06-03,6,4,30
10,Aubrette Mc Dermid,10/9/2012,2022-10-07,10,4,27
11,Adah Chatres,12/27/2012,2022-12-27,12,1,8
12,Benedikt Titterton,1/10/2014,2022-01-10,1,0,14
13,Rosina Harberer,12/23/2012,2022-12-23,12,4,48
14,Panchito Filinkov,6/9/2013,2022-06-09,6,3,12
15,Samara Strike,6/26/2013,2022-06-24,6,4,30
16,Joane McCormack,4/17/2012,2022-04-15,4,4,56
17,Griffie Sitlinton,3/24/2014,2022-03-24,3,3,19
18,Gilberta Silversmidt,9/8/2014,2022-09-08,9,3,14
19,Marjie Matkovic,12/4/2011,2022-12-02,12,4,48
20,Uri Cowterd,12/12/2011,2022-12-12,12,0,20
21,Korella Mattisson,4/3/2015,2022-04-01,4,4,56
22,Findlay Schonfelder,1/19/2014,2022-01-19,1,2,14
23,Jaquelyn Jantzen,10/20/2012,2022-10-20,10,3,14
24,Davina Gradwell,11/7/2011,2022-11-07,11,0,11
25,Nicolea Selby,4/4/2014,2022-04-04,4,0,10
26,Moselle Alelsandrovich,12/22/2012,2022-12-22,12,3,20
27,Honey Nieass,11/23/2014,2022-11-23,11,2,17
28,Akim Godfroy,9/30/2012,2022-09-30,9,4,41
29,Karole Floch,11/6/2012,2022-11-04,11,4,39
30,Nata Feldbaum,5/7/2015,2022-05-06,5,4,30
31,Jaquelin Antonucci,5/3/2012,2022-05-03,5,1,15
32,Candra Hallums,8/11/2014,2022-08-11,8,3,10
33,Den Masters,10/3/2014,2022-10-03,10,0,14
34,Janifer Marris,5/21/2012,2022-05-20,5,4,30
35,Carolus Bremmer,9/15/2011,2022-09-15,9,3,14
36,Casey Addicote,9/25/2014,2022-09-23,9,4,41
37,Brigida De Ath,8/7/2014,2022-08-05,8,4,24
38,Kimberli Severs,9/19/2011,2022-09-19,9,0,7
39,Maribeth Blumson,8/27/2014,2022-08-26,8,4,24
40,Arabele Rosenauer,10/26/2012,2022-10-26,10,2,13
41,Madison Cominetti,7/17/2014,2022-07-15,7,4,49
42,Verina Knoton,4/4/2014,2022-04-04,4,0,10
43,Wolfgang Clubbe,4/20/2014,2022-04-20,4,2,12
44,Davin Mazdon,7/10/2015,2022-07-08,7,4,49
45,Constantina McIlwaine,8/26/2014,2022-08-26,8,4,24
46,Sayre Merredy,10/24/2014,2022-10-24,10,0,14
47,Rodrick Jeannot,10/19/2013,2022-10-19,10,2,13
48,Kain Guerre,8/10/2015,2022-08-10,8,2,10
49,Blinni Fieldstone,11/17/2013,2022-11-17,11,3,13
50,Annabell Goscomb,11/10/2013,2022-11-10,11,3,13
51,Clayborn Benazet,11/21/2014,2022-11-21,11,0,11
52,Mahala Henze,9/15/2014,2022-09-15,9,3,14
53,Lanette Berzen,11/18/2011,2022-11-18,11,4,39
54,Keefer Ruckhard,4/2/2013,2022-04-01,4,4,56
55,Merrili Truelock,11/27/2013,2022-11-25,11,4,39
56,Joete Goutcher,1/6/2015,2022-01-06,1,3,6
57,Miguelita Palfreman,2/17/2012,2022-02-17,2,3,12
58,Ossie Mattes,5/15/2012,2022-05-13,5,4,30
59,Bear Vernay,5/21/2014,2022-05-20,5,4,30
60,Teodor Wragge,8/14/2015,2022-08-12,8,4,24
61,Daisie Whitelaw,1/17/2014,2022-01-17,1,0,14
62,Emlynne Littley,2/5/2015,2022-02-04,2,4,31
63,Britni Walsh,7/12/2012,2022-07-12,7,1,12
64,Marys Inseal,11/16/2012,2022-11-16,11,2,17
65,Paxton Massow,2/11/2014,2022-02-11,2,4,31
66,Kerby Scain,10/30/2012,2022-10-28,10,4,27
67,Johnathan Lamplough,9/25/2013,2022-09-23,9,4,41
68,Jeni Donald,6/7/2013,2022-06-07,6,1,11
69,Sylvia Abrahamsohn,11/15/2012,2022-11-15,11,1,12
70,Cinnamon Stoyle,1/16/2012,2022-01-14,1,4,30
71,Issi Amey,10/20/2012,2022-10-20,10,3,14
72,Brion Letson,12/7/2012,2022-12-07,12,2,9
73,Nappie Sire,11/10/2011,2022-11-10,11,3,13
74,Pattie Chapelle,12/19/2011,2022-12-19,12,0,20
75,Brynna Armit,8/12/2012,2022-08-12,8,4,24
76,Gauthier Bruinsma,9/23/2013,2022-09-23,9,4,41
77,Pren Gudgeon,9/24/2013,2022-09-23,9,4,41
78,Wyn Husthwaite,5/11/2014,2022-05-11,5,2,8
79,Allianora Padrick,12/7/2011,2022-12-07,12,2,9
80,Malena Bennough,4/20/2013,2022-04-20,4,2,12
81,Jarret Winscom,3/5/2013,2022-03-04,3,4,31
82,Ree Salmen,11/14/2013,2022-11-14,11,0,11
83,Hope Dommerque,9/13/2014,2022-09-13,9,1,12
84,Guillermo Trowle,6/24/2013,2022-06-24,6,4,30
85,Tibold Cottingham,9/3/2013,2022-09-02,9,4,41
86,Cecilia Poxton,12/20/2013,2022-12-20,12,1,8
87,Arri Sleney,11/23/2013,2022-11-23,11,2,17
88,Regina Isenor,10/16/2011,2022-10-14,10,4,27
89,Annalise Roll,7/4/2012,2022-07-04,7,0,11
90,Othello Blyth,7/19/2014,2022-07-19,7,1,12
91,Ave Heyball,5/1/2012,2022-04-29,4,4,56
