,Account Number,Transaction Date,Value,Current Balance
5,10005367,2023-02-05,-108.26,-399.8699999999999
20,10011977,2023-02-05,-124.61,319.92
35,10024680,2023-02-05,,1090.53
50,10031238,2023-02-05,11.63000000000001,588.15
65,10034341,2023-02-05,-217.15,1739.8399999999997
80,10079965,2023-02-05,,955.62
95,10091076,2023-02-05,53.92,858.47
110,10231977,2023-02-05,,177.63
125,10232603,2023-02-05,,-1221.57
140,10243581,2023-02-05,,-5.38000000000001
155,10271519,2023-02-05,,2347.25
170,10273387,2023-02-05,,138.36
185,10288821,2023-02-05,,642.41
200,10295384,2023-02-05,,124.38
215,10350324,2023-02-05,,1238.19
230,10437896,2023-02-05,,664.48
245,10449180,2023-02-05,,303.04
260,10464544,2023-02-05,,666.4300000000001
275,10473116,2023-02-05,,380.25
290,10521885,2023-02-05,,218.75
305,10553619,2023-02-05,-89.62,-503.97
320,10554116,2023-02-05,,122.12
335,10586481,2023-02-05,,174.25
350,10608220,2023-02-05,78.8,538.54
365,10631690,2023-02-05,,1071.8
380,10675607,2023-02-05,,170.63
395,10725127,2023-02-05,,-284.01
410,10769769,2023-02-05,85.93,-770.89
425,10783139,2023-02-05,-92.78,1004.01
440,10799356,2023-02-05,,915.04
455,10819898,2023-02-05,-36.13,742.3
470,10842511,2023-02-05,,495.85
485,10847941,2023-02-05,,40.25
500,10864084,2023-02-05,-39.08,-249.54
515,10942334,2023-02-05,-92.89,-37.47
530,10949168,2023-02-05,,238.18
545,10989769,2023-02-05,,1188.58
560,11008868,2023-02-05,,270.39
575,11026937,2023-02-05,,346.63
590,11061291,2023-02-05,,-105.72
605,11067879,2023-02-05,,-77.92000000000002
620,11110085,2023-02-05,1712.2,2681.3900000000003
635,11150945,2023-02-05,,596.77
650,11228111,2023-02-05,,-1513.14
665,11242986,2023-02-05,,184.28
680,11251776,2023-02-05,,677.11
695,11302888,2023-02-05,-80.56,495.87
710,11306584,2023-02-05,,142.2
725,11333185,2023-02-05,,792.8100000000001
740,11346696,2023-02-05,,570.3
755,11359678,2023-02-05,,837.17
770,11360263,2023-02-05,,469.14
785,11368995,2023-02-05,-92.6,298.36999999999995
800,11437275,2023-02-05,98.47,213.81
815,11438427,2023-02-05,,484.08
830,11463412,2023-02-05,,342.53
845,11475827,2023-02-05,,412.27
860,11522216,2023-02-05,,833.39
875,11662506,2023-02-05,192.68,598.72
890,11694020,2023-02-05,,189.48
905,11717885,2023-02-05,-72.53,-66.47
920,11728970,2023-02-05,,711.65
935,11736814,2023-02-05,-790.5,-542.05
950,11744491,2023-02-05,,872.6199999999999
965,11764022,2023-02-05,,173.07000000000005
980,11778031,2023-02-05,,514.7
995,11790056,2023-02-05,-91.81,-5.629999999999996
1010,11804173,2023-02-05,,413.81
1025,11826060,2023-02-05,63.32,845.45
1040,11831265,2023-02-05,,-43.69999999999999
1055,11836917,2023-02-05,,511.95
1070,11846043,2023-02-05,,985.08
1085,11882775,2023-02-05,84.05,-1415.61
1100,11910409,2023-02-05,-39.86,41.99999999999997
1115,11928523,2023-02-05,-149.91,668.6
1130,12035637,2023-02-05,,-1492.69
1145,12042151,2023-02-05,97.45,344.15
1160,12088180,2023-02-05,,656.51
1175,12099406,2023-02-05,,586.14
1190,12111805,2023-02-05,,922.54
1205,12172627,2023-02-05,-116.16,571.28
1220,12185627,2023-02-05,-80.67,937.74
1235,12198380,2023-02-05,-216.07999999999998,509.59
1250,12199229,2023-02-05,,804.0
1265,12233762,2023-02-05,-114.97,271.08000000000004
1280,12240007,2023-02-05,1684.1899999999998,2670.21
1295,12241820,2023-02-05,,207.29
1310,12388837,2023-02-05,-183.42,335.36
1325,12420291,2023-02-05,,-645.3299999999999
1340,12423613,2023-02-05,,-1251.1899999999998
1355,12440230,2023-02-05,,842.67
1370,12493067,2023-02-05,,491.1
1385,12494185,2023-02-05,,736.29
1400,12499656,2023-02-05,147.75,517.17
1415,12560453,2023-02-05,223.35000000000002,455.98
1430,12583269,2023-02-05,80.89,869.37
1445,12666385,2023-02-05,,2500.64
1460,12680102,2023-02-05,-41.65,632.99
1475,12725274,2023-02-05,-58.28,260.87
1490,12859818,2023-02-05,,-80.41
1505,12899540,2023-02-05,,999.1
1520,12964138,2023-02-05,,603.17
1535,12985543,2023-02-05,,262.67
1550,13058003,2023-02-05,,182.1
1565,13076932,2023-02-05,,294.01000000000005
1580,13117442,2023-02-05,-2.7099999999999937,750.6700000000001
1595,13167285,2023-02-05,-21.67,-313.62000000000006
1610,13176075,2023-02-05,,195.26
1625,13182613,2023-02-05,220.0,604.4200000000001
1640,13197335,2023-02-05,,817.1
1655,13267945,2023-02-05,,1482.32
1670,13274987,2023-02-05,101.16,711.4599999999999
1685,13277127,2023-02-05,-17.93,792.5500000000001
1700,13322659,2023-02-05,-17.15,497.44
1715,13388069,2023-02-05,,13.45
1730,13426667,2023-02-05,-121.7,-51.23
1745,13459523,2023-02-05,,-2.1000000000000227
1760,13474543,2023-02-05,-107.87,451.41
1775,13537427,2023-02-05,,609.54
1790,13551717,2023-02-05,-627.1,-1961.15
1805,13558846,2023-02-05,-148.46,554.34
1820,13563384,2023-02-05,,992.4
1835,13584908,2023-02-05,-85.05,1.7900000000000205
1850,13610259,2023-02-05,,587.73
1865,13687711,2023-02-05,,547.54
1880,13713704,2023-02-05,,-91.06
1895,13788234,2023-02-05,,302.78
1910,13945841,2023-02-05,,813.51
1925,13965360,2023-02-05,,299.46
