,Account Number,Transaction Date,Value,Current Balance
0,10005367,2023-01-31,0.0,728.25
2482,10005367,2023-02-02,-1097.6,-369.3499999999999
2483,10005367,2023-02-04,-67.01,-436.3599999999999
5088,10005367,2023-02-04,144.75,-291.6099999999999
2484,10005367,2023-02-05,-108.26,-399.8699999999999
2485,10005367,2023-02-08,-65.49,-465.3599999999999
5089,10005367,2023-02-08,941.0,475.6400000000001
2486,10005367,2023-02-10,-27.61,448.0300000000001
5090,10005367,2023-02-11,137.25,585.2800000000001
1,10011977,2023-01-31,0.0,676.54
2459,10011977,2023-02-02,-51.0,625.54
3774,10011977,2023-02-03,120.88,746.42
2461,10011977,2023-02-04,-189.38,557.04
2460,10011977,2023-02-04,-170.56,386.47999999999996
3775,10011977,2023-02-04,58.05,444.53
2462,10011977,2023-02-05,-124.61,319.91999999999996
3776,10011977,2023-02-08,133.74,453.65999999999997
2463,10011977,2023-02-10,-103.55,350.10999999999996
2464,10011977,2023-02-11,-43.89,306.21999999999997
3777,10011977,2023-02-14,1100.7,1406.92
2,10024680,2023-01-31,0.0,567.46
772,10024680,2023-02-01,-153.43,414.03000000000003
4707,10024680,2023-02-03,676.5,1090.53
773,10024680,2023-02-07,-127.45,963.0799999999999
774,10024680,2023-02-07,-91.92,871.16
775,10024680,2023-02-08,-138.18,732.98
3,10031238,2023-01-31,0.0,576.52
6485,10031238,2023-02-05,-110.07,466.45
6046,10031238,2023-02-05,121.7,588.15
6486,10031238,2023-02-09,-35.39,552.76
6487,10031238,2023-02-10,-160.6,392.15999999999997
6047,10031238,2023-02-10,65.02,457.18
6488,10031238,2023-02-11,-157.96,299.21999999999997
4,10034341,2023-01-31,0.0,390.39
5037,10034341,2023-02-03,1566.6,1956.9899999999998
6297,10034341,2023-02-05,-217.15,1739.8399999999997
6298,10034341,2023-02-08,-110.25,1629.5899999999997
5038,10034341,2023-02-12,123.13,1752.7199999999998
6299,10034341,2023-02-14,-74.72,1678.0
5,10079965,2023-01-31,0.0,799.27
4095,10079965,2023-02-03,156.35,955.62
7719,10079965,2023-02-08,-442.3,513.3199999999999
7720,10079965,2023-02-08,-132.2,381.12
7718,10079965,2023-02-08,-63.9,317.22
6,10091076,2023-01-31,0.0,831.83
328,10091076,2023-02-01,-83.96,747.87
329,10091076,2023-02-01,-18.77,729.1
1520,10091076,2023-02-01,75.45,804.5500000000001
1521,10091076,2023-02-05,53.92,858.47
330,10091076,2023-02-14,-10.22,848.25
1522,10091076,2023-02-14,53.72,901.97
7,10231977,2023-01-31,0.0,61.63
489,10231977,2023-02-01,116.0,177.63
7739,10231977,2023-02-08,-68.31,109.32
7740,10231977,2023-02-09,-1410.1,-1300.7799999999997
7741,10231977,2023-02-14,-723.4,-2024.1799999999998
490,10231977,2023-02-14,78.92,-1945.2599999999998
8,10232603,2023-01-31,0.0,732.55
756,10232603,2023-02-01,125.68,858.23
3325,10232603,2023-02-02,-1190.9,-332.6700000000001
3326,10232603,2023-02-04,-888.9,-1221.57
757,10232603,2023-02-06,88.22,-1133.3500000000001
3327,10232603,2023-02-07,-185.47,-1318.82
3328,10232603,2023-02-10,-1128.4,-2447.2200000000003
758,10232603,2023-02-10,85.03,-2362.1899999999996
9,10243581,2023-01-31,0.0,104.27
5193,10243581,2023-02-04,-109.65,-5.38000000000001
5194,10243581,2023-02-06,-78.93,-84.31000000000002
8316,10243581,2023-02-10,83.3,-1.0100000000000193
5195,10243581,2023-02-12,-1482.9,-1483.91
5196,10243581,2023-02-13,-20.17,-1504.0800000000002
5197,10243581,2023-02-14,-134.51,-1638.5900000000001
10,10271519,2023-01-31,0.0,50.02
3765,10271519,2023-02-03,-100.99,-50.96999999999999
4346,10271519,2023-02-03,17.57,-33.399999999999984
4344,10271519,2023-02-03,95.05,61.65
4345,10271519,2023-02-03,2285.6,2347.25
3766,10271519,2023-02-11,-89.55,2257.7
4348,10271519,2023-02-12,76.71,2334.41
4347,10271519,2023-02-12,98.81,2433.22
11,10273387,2023-01-31,0.0,581.83
4949,10273387,2023-02-03,-556.5,25.33000000000004
4657,10273387,2023-02-03,113.03,138.36
4658,10273387,2023-02-06,181.24,319.6
4950,10273387,2023-02-07,-38.41,281.19000000000005
4951,10273387,2023-02-08,-140.45,140.74000000000007
4952,10273387,2023-02-10,-71.11,69.63000000000011
4659,10273387,2023-02-10,138.8,208.43000000000006
4660,10273387,2023-02-12,130.68,339.11000000000007
4661,10273387,2023-02-14,278.4,617.51
12,10288821,2023-01-31,0.0,642.41
7520,10288821,2023-02-07,-151.7,490.71
8414,10288821,2023-02-11,85.41,576.12
8415,10288821,2023-02-12,228.52,804.64
8416,10288821,2023-02-14,94.21,898.8499999999999
13,10295384,2023-01-31,0.0,153.85
4168,10295384,2023-02-03,10.64,164.49
5202,10295384,2023-02-04,-96.09,68.39999999999999
